PERFIL NORMAL U- UPN													
Denom.	Dimensiones				Sección	Peso	Lomg.	Valores estáticos					
U.P.N.	h	b	s	t	F	G	L	Jx	Jy	Wx	Wy	Ix	Iy
	mm	mm	mm	mm	cm2	kg/m	m	cm4	cm4	cm3	cm3	cm	cm
80	80	45	8.0	8.0	11.0	8.6	12	106	19.4	26.5	6.3	3.10	1.33
100	100	50	8.5	8.5	13.5	10.6	12	206	29.3	41.2	8.5	3.91	1.47
120	120	55	9.0	9.0	17.0	13.4	12	364	43.2	60.7	11.1	4.62	1.59
140	140	60	10.0	10.0	20.4	16.0	12	605	62.7	86.4	14.8	5.45	1.75
160	160	65	10.5	10.5	24.0	18.8	12	925	85.3	116.0	18.3	6.21	1.89
180	180	70	11.0	11.0	28.0	22.0	12	1350	114.0	150.0	22.4	6.95	2.02
200	200	75	11.5	11.5	32.2	25.3	12	1910	148.0	191.0	27.0	7.70	2.14
220	220	80	12.5	12.5	37.4	29.4	12	2690	197.0	245.0	33.6	8.48	2.30
240	240	85	13.0	13.0	42.3	33.2	12	3600	248.0	300.0	39.6	9.22	2.42
260	260	90	14.0	14.0	48.3	37.9	12	4820	317.0	371.0	47.7	9.99	2.56
280	280	95	15.0	15.0	53.3	41.8	12	6280	399.0	448.0	57.2	10.90	2.74
300	300	100	16.0	16.0	58.8	46.2	12	8030	495.0	535.0	67.8	11.70	2.90
320	320	100	17.5	17.5	75.8	59.5	12	10870	597.0	679.0	80.6	12.10	2.81
350	350	100	16.0	16.0	77.3	60.6	12	12840	570.0	734.0	75.0	12.90	2.72
380	380	102	16.0	16.0	80.4	63.1	12	15760	615.0	829.0	78.7	14.00	2.77
400	400	110	18.0	18.0	91.5	71.8	12	20350	846.0	1020.0	102.0	14.90	3.04
